ID	H	E	C
Seq_1903407	25.0	4.545454545454546	70.45454545454545
Seq_97259	0.0	0.0	100.0
Seq_1304557	38.82352941176471	2.3529411764705883	58.82352941176471
Seq_816724	0.0	0.0	100.0
Seq_1335294	88.23529411764706	0.0	11.76470588235294
Seq_1632038	57.14285714285714	4.761904761904762	38.095238095238095
Seq_759058	82.35294117647058	0.0	17.647058823529413
Seq_1431957	5.769230769230769	25.0	69.23076923076923
Seq_2326148	25.0	26.923076923076923	48.07692307692308
Seq_1835619	0.0	0.0	100.0
Seq_1329560	0.0	31.25	68.75
Seq_324405	0.0	0.0	100.0
Seq_666680	25.0	22.058823529411764	52.94117647058824
Seq_308128	5.263157894736842	24.561403508771928	70.17543859649122
Seq_76679	47.16981132075472	0.0	52.83018867924528
Seq_970258	42.465753424657535	20.54794520547945	36.986301369863014
Seq_1742229	25.806451612903224	7.526881720430108	66.66666666666666
Seq_692174	0.0	0.0	100.0
Seq_1848969	71.01449275362319	0.0	28.985507246376812
Seq_1594706	7.317073170731707	34.146341463414636	58.536585365853654
Seq_1535123	29.72972972972973	0.0	70.27027027027027
Seq_1985679	21.153846153846153	3.8461538461538463	75.0
Seq_750586	17.647058823529413	25.49019607843137	56.86274509803921
Seq_1210730	45.28301886792453	24.528301886792452	30.18867924528302
Seq_2064491	0.0	37.5	62.5
Seq_1738330	14.516129032258066	37.096774193548384	48.38709677419355
Seq_223331	37.735849056603776	0.0	62.264150943396224
Seq_2144991	30.909090909090907	23.636363636363637	45.45454545454545
Seq_1939197	17.46031746031746	31.746031746031743	50.79365079365079
Seq_1623817	60.29411764705882	14.705882352941178	25.0
Seq_393187	50.56179775280899	20.224719101123593	29.213483146067414
Seq_1824529	32.72727272727273	23.636363636363637	43.63636363636363
Seq_440104	44.44444444444444	18.51851851851852	37.03703703703704
Seq_63228	17.073170731707318	26.82926829268293	56.09756097560976
Seq_1829103	25.609756097560975	35.36585365853659	39.02439024390244
Seq_1903348	36.986301369863014	21.91780821917808	41.0958904109589
Seq_1556095	25.862068965517242	34.48275862068966	39.6551724137931
Seq_1334799	10.784313725490197	27.450980392156865	61.76470588235294
